Numero_Requerimento;Rito_Requerimento;Numero_Processo;Data_requerimento;Data_Registro;Data_Encerramento;Status_Requerimento;Valor_Mobiliario;Tipo_requerimento;Bookbuilding;CNPJ_Emissor;Nome_Emissor;CNPJ_Lider;Nome_Lider;Grupo_Coordenador;Tipo_Oferta;Emissao;Qtde_Total_Registrada;Valor_Total_Registrado;Oferta_inicial;Oferta_vasos_comunicantes;Publico_alvo;Reabertura_serie;Titulo_classificado_como_sustentavel;Titulo_padronizado;Destinacao_recursos;Data_deliberacao_aprovou_oferta;Mercado_negociacao;Tipo_lastro;Regime_fiduciario;Ativos_alvo;Descricao_garantias;Descricao_lastro;Identificacao_devedores_coobrigados;Possibilidade_revolvencia;FIDC_nao_padronizado;Titulo_incentivado;Regime_distribuicao;Tipo_societario;Administrador;Gestor;Agente_fiduciario;Escriturador;Custodiante;Avaliador_Risco;Processo_SEI;Endereco_emissor_rede_mundial_computadores;Num_Invest_Pessoa_Natural;Qtde_VM_Pessoa_Natural;Num_Invest_Clube_Investimento;Qtde_VM_Clube_Investimento;Num_Invest_Fundos_Investimento;Qtde_VM_Fundos_Investimento;Num_Invest_Entidade_Previdencia_Privada;Qtde_VM_Entidade_Previdencia_Privada;Num_Invest_Companhia_Seguradora;Qtde_VM_Companhia_Seguradora;Num_Invest_Investidor_Estrangeiro;Qtde_VM_Investidor_Estrangeiro;Num_Invest_Instit_Intermed_Partic_Consorcio_Distrib;Qtde_VM_Instit_Intermed_Partic_Consorcio_Distrib;Num_Invest_Instit_Financ_Emissora_Partic_Consorcio;Qtde_VM_Instit_Financ_Emissora_Partic_Consorcio;Num_Invest_Demais_Instit_Financ;Qtde_VM_Demais_Instit_Financ;Num_Invest_Demais_Pessoa_Juridica_Emissora_Partic_Consorcio;Qtde_VM_Demais_Pessoa_Juridica_Emissora_Partic_Consorcio;Num_Invest_Demais_Pessoa_Juridica;Qtde_VM_Demais_Pessoa_Juridica;Num_Invest_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio;Qdte_VM_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio
392;Automático;SRE/0001/2023;2023-01-04;2023-01-04;2023-07-03;Oferta Encerrada;Cotas de FIDC;OPD Aut Profissional - sem bookbuilding;N;49.024.937/0001-96;OVERFLOW FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;;PRIMARIA;;200000;200000000.00;S;;Profissional;;N;;;02/01/2023;N/A;Concentrado;;Direitos creditórios objeto de ações judiciais no Brasil movidas em face de entes públicos;;;;;S;N;Melhores Esforços;;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;RADIX PORTFOLIO GESTÃO DE INVESTIMENTO LTDA.;;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;BANCO BTG PACTUAL S.A.;N/A;;;0;0;0;0;0;0;0;0;0;0;2;101562;0;0;0;0;0;0;0;0;0;0;0;0
395;Automático;SRE/0003/2023;2023-01-05;2023-01-05;2023-01-12;Oferta Encerrada;Debêntures;OPD Aut Profissional - sem bookbuilding;N;07.047.251/0001-70;CIA ENERG CEARA - COELCE;30.306.294/0001-45;BANCO BTG PACTUAL S/A;;PRIMARIA;9;950000;950000000.00;;;Profissional;N;N;N;Os recursos serão destinados, a exclusivo critério da diretoria da Emissora, para refinanciamento e reforço de caixa no curso ordinário dos negócios da Emissora;04/01/2023;MDA - Módulo de Distribuição de Ativos;;;;;;;;;N;Garantia Firme de Colocação;;;;Oliveira Trust Distribuidora de Títulos e Valores Mobiliários S.A.;Oliveira Trust Distribuidora de Títulos e Valores Mobiliários S.A.;;;;;0;0;0;0;0;0;0;0;0;0;0;0;1;950000;0;0;0;0;0;0;0;0;0;0
396;Automático;SRE/0002/2023;2023-01-04;2023-01-04;2023-01-17;Oferta Encerrada;Cotas de FII;OPD Aut Profissional - sem bookbuilding;N;36.501.159/0001-37;FUNDO DE INVESTIMENTO IMOBILIÁRIO HBC RENDA URBANA;45.246.410/0001-55;BANCO GENIAL S.A.;;PRIMARIA;;720000;75528000.00;S;;Profissional;;;;Os recursos a serem captados no âmbito da Oferta serão destinados ao investimento preponderante de Ativos Imobiliários, bem como serão utilizados para o pagamento das obrigações anteriormente assumidas pelo Fundo, observada a Política de Investimento do Fundo, descrita nos artigos 13 a 19º do Regulamento.;02/01/2023;Balcão Organizado;;;;;;;;;;Melhores Esforços;;BANCO GENIAL S.A;BANCO GENIAL S.A;;BANCO GENIAL S.A;BANCO GENIAL S.A;;;;0;0;0;0;6;600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401;Automático;SRE/0013/2023;2023-01-10;2023-01-10;2023-07-03;Oferta Encerrada;Cotas de FIF;OPD Aut Profissional - sem bookbuilding;N;33.150.739/0001-39;NACAR FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;PRIMARIA;;1587302;2000000.00;N;;Profissional;;;;Não obrigatório nos termos da RCVM160;03/01/2023;Não serão admitidas;;;;;;;;;;Melhores Esforços;;02.332.886/0001-04;34.118.647/0001-34;;02.201.501/0001-61;42.272.526/0001-70;;;;1;235940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
402;Automático;SRE/0012/2023;2023-01-10;2023-01-10;2023-07-03;Oferta Encerrada;Cotas de FIF;OPD Aut Profissional - sem bookbuilding;N;33.145.055/0001-49;DOLOMITA INVESTIMENTO NO EXTERIOR FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;PRIMARIA;;1574803;2000000.00;N;;Profissional;;;;Não obrigatório nos termos da RCVM160;03/01/2023;Não serão admitidas;;;;;;;;;;Melhores Esforços;;02.332.886/0001-04;34.118.647/0001-34;;02.201.501/0001-61;42.272.526/0001-70;;;;1;780201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
406;Automático;SRE/0004/2023;2023-01-05;2023-01-20;2023-07-19;Oferta Encerrada;Cotas de FIP;OPD Aut Profissional - com bookbuilding;S;49.055.556/0001-74;LCM 1-C FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;;PRIMARIA;;1150000000;1150000000.00;S;S;Profissional;;;;Aquisição de debêntures conversíveis de companhia do setor elétrico;04/01/2023;N/A;;;;;;;;;;Melhores Esforços;;BTG PACTUAL GESTORA DE INVESTIMENTOS ALTERNATIVOS LTDA.;LUMINA CAPITAL MANAGEMENT LTDA.;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;BANCO BTG PACTUAL S/A;;;;0;0;0;0;4;526614074;0;0;0;0;3;323385926;0;0;0;0;0;0;0;0;1;300000000;0;0
407;Automático;SRE/0005/2023;2023-01-05;2023-01-05;2023-02-06;Oferta Encerrada;Cotas de FII;OPD Aut Público em Geral ou Qualificado - sem bookbuilding;N;36.642.219/0001-31;RIZA AKIN FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;PRIMARIA;;4047927;388155720.03;N;;Público Geral;;;;A Gestora pretende destinar os recursos líquidos a serem captados na Oferta, inclusive os recursos provenientes da eventual emissão de Novas Cotas do Lote Adicional, de forma ativa e discricionária, respeitado o previsto na política de investimento disposta no Capítulo Quatro do Regulamento.;05/01/2023;B3 S.A. - Brasil, Bolsa, Balcão;;;;;;;;;;Melhores Esforços;;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;RIZA GESTORA DE RECURSOS LTDA.;;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;BANCO BTG PACTUAL S.A.;;;;15916;3886381;0;0;1;863;0;0;0;0;0;0;0;0;0;0;1;645;175;159790;1;248;0;0
415;Automático;SRE/0010/2023;2023-01-09;2023-01-09;2023-07-08;Oferta Encerrada;Cotas de FIP;OPD Aut Profissional - sem bookbuilding;N;08.869.530/0001-82;BRASIF INVEST FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;;PRIMARIA;;11052;15103884.24;N;;Profissional;;;;Investimento nas Empresas Alvo, conforme definido no regulamento do Fundo;05/01/2023;Primário;;;;;;;;;;Melhores Esforços;;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;BRASIF GESTÃO INTERNACIONAL LTDA.;;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;BANCO BTG PACTUAL S.A.;;;;0;0;0;0;0;0;0;0;0;0;1;11052;0;0;0;0;0;0;0;0;0;0;0;0
422;Automático;SRE/0011/2023;2023-01-10;;;Requerimento Expirado;Debêntures;OPD Aut Profissional - com bookbuilding;S;15.139.629/0001-94;CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA;17.298.092/0001-30;BANCO ITAU BBA  S.A.;;PRIMARIA;*;0;0.00;;S;Profissional;N;S;N;1ª e 2ª Séries: Os recursos líquidos captados pela Emissora por meio das Debêntures da Primeira Série e das Debêntures da Segunda Série serão utilizados para capital de giro da gestão ordinária do negócio.3ª e 4ª Série: Nos termos do artigo 2°, parágrafo 1°, da Lei 12.431, do Decreto 8.874, e da Resolução do Conselho Monetário Nacional ("CMN") nº 3.947, de 27 de janeiro de 2011 por meio da Portaria nº 1516/SPE/MME, de 25 de julho de 2022.;09/01/2023;Cetip21 - Títulos e Valores Mobiliários;;;;;;;;;S;Garantia Firme de Colocação;;;;Pentágono S.A. DTVM;Banco Bradesco S.A.;;Standard & Poor's;;https://ri.neoenergia.com/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
423;Automático;SRE/0016/2023;2023-01-11;2023-01-11;2023-10-26;Oferta Encerrada;Cotas de FIDC;OPD Aut Profissional - sem bookbuilding;N;23.956.882/0001-69;SB CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;PRIMARIA;;100000;100000000.00;S;;Profissional;;N;;;02/01/2023;Primário;Concentrado;;CCB LFT operações compromissadas, com liquidez diária, lastreadas em títulos de emissão do Tesouro Nacional ou do BACEN certificados e recibos de depósito bancário e cotas de determinados fundos.;;;;;N;N;Melhores Esforços;;BRL TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;ATRIO GESTORA DE ATIVOS LTDA;;BRL TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;BRL TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;STANDARD & POOR'S RATINGS DO BRASIL LTDA;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
